Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
3,0,prac,1,A,circle.png,0,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),66409.0,1200,O,None,1515,3,1,3493.399999976158,62915.60000002384,7001,NTS,A,1
6,1,prac,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),70108.19999992847,1900,O,m,1012,5,1,3693.2999999523163,66414.89999997616,7001,NTS,A,2
4,2,prac,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),73056.69999992847,1400,O,z,749,4,1,2942.7999999523163,70113.89999997616,7001,NTS,A,3
8,3,prac,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),75939.19999992847,1600,O,m,488,7,1,2876.5999999046326,73062.60000002384,7001,NTS,A,4
6,4,prac,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),79238.29999995232,1900,O,m,610,5,1,3294.0,75944.29999995232,7001,NTS,A,5
9,5,prac,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),82087.10000002384,1500,O,m,559,8,1,2843.3000000715256,79243.79999995232,7001,NTS,A,6
7,6,prac,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),85102.69999992847,1700,O,m,526,6,1,3010.399999976158,82092.29999995232,7001,NTS,A,7
7,7,prac,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),88136.60000002384,1700,O,m,542,6,1,3029.100000023842,85107.5,7001,NTS,A,8
3,8,prac,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),90567.89999997616,1200,O,z,442,3,1,2426.2000000476837,88141.69999992847,7001,NTS,A,9
2,9,prac,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),93850.29999995232,2000,O,z,497,2,1,3277.399999976158,90572.89999997616,7001,NTS,A,10
1,10,prac,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),96132.79999995232,1000,O,z,459,1,1,2277.0,93855.79999995232,7001,NTS,A,11
2,11,prac,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),99415.19999992847,2000,O,z,484,2,1,3277.0,96138.19999992847,7001,NTS,A,12
1,1,prac,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),134737.60000002384,1900,O,z,832,1,1,3511.4000000953674,131226.19999992847,7001,NTS,A,1
9,2,prac,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),137686.29999995232,1400,O,z,760,8,1,2943.399999976158,134742.89999997616,7001,NTS,A,2
6,3,prac,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),140019.0,1000,O,m,539,5,1,2327.3000000715256,137691.69999992847,7001,NTS,A,3
7,4,prac,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),143701.29999995232,2000,O,z,892,6,1,3677.600000023842,140023.69999992847,7001,NTS,A,4
2,5,prac,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),147500.10000002384,1700,O,m,1312,2,1,3793.8000000715256,143706.29999995232,7001,NTS,A,5
1,6,prac,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),150699.19999992847,1900,O,z,506,1,1,3194.2999999523163,147504.89999997616,7001,NTS,A,6
4,7,prac,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),154264.69999992847,1500,O,m,1274,4,1,3560.399999976158,150704.29999995232,7001,NTS,A,7
8,8,prac,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),156913.89999997616,1200,O,m,657,7,1,2644.5,154269.39999997616,7001,NTS,A,8
2,9,prac,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),160062.60000002384,1700,O,m,652,2,1,3143.8000000715256,156918.79999995232,7001,NTS,A,9
9,10,prac,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),163178.39999997616,1400,O,z,923,8,1,3110.2999999523163,160068.10000002384,7001,NTS,A,10
3,11,prac,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),166677.5,1600,O,z,1103,3,1,3493.899999976158,163183.60000002384,7001,NTS,A,11
7,12,prac,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),170009.5,2000,O,z,540,6,1,3327.2000000476837,166682.29999995232,7001,NTS,A,12
6,1,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),191753.0,1900,O,m,984,5,1,2910.8000000715256,188842.19999992847,7001,NTS,A,1
2,2,test,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),194302.10000002384,2000,O,z,520,2,1,2543.3000000715256,191758.79999995232,7001,NTS,A,2
4,2,test,1,A,circle.png,0,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),197234.29999995232,1400,O,None,1515,4,1,2928.399999976158,194305.89999997616,7001,NTS,A,3
8,3,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),199367.0,1600,O,m,503,7,1,2128.899999976158,197238.10000002384,7001,NTS,A,4
9,4,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),201682.69999992847,1500,O,m,790,8,1,2312.1999999284744,199370.5,7001,NTS,A,5
1,5,test,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),203415.79999995232,1000,O,z,710,1,1,1729.6000000238419,201686.19999992847,7001,NTS,A,6
4,6,test,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),205498.19999992847,1400,O,z,666,4,1,2078.899999976158,203419.29999995232,7001,NTS,A,7
6,7,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),207897.5,1900,O,m,474,5,1,2395.899999976158,205501.60000002384,7001,NTS,A,8
7,8,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),210063.19999992847,1700,O,m,436,6,1,2162.1999999284744,207901.0,7001,NTS,A,9
3,9,test,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),212112.79999995232,1200,O,z,825,3,1,2045.8999999761581,210066.89999997616,7001,NTS,A,10
8,10,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),214212.10000002384,1600,O,m,481,7,1,2095.2000000476837,212116.89999997616,7001,NTS,A,11
9,11,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),216278.19999992847,1500,O,m,537,8,1,2061.6999999284744,214216.5,7001,NTS,A,12
3,12,test,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),218094.19999992847,1200,O,z,586,3,1,1812.1999999284744,216282.0,7001,NTS,A,13
7,13,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),220393.5,1700,O,m,567,6,1,2295.399999976158,218098.10000002384,7001,NTS,A,14
6,14,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),222926.0,1900,O,m,603,5,1,2528.5,220397.5,7001,NTS,A,15
1,15,test,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),224892.19999992847,1000,O,z,947,1,1,1962.3999999761581,222929.79999995232,7001,NTS,A,16
4,16,test,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),227158.10000002384,1400,O,z,845,4,1,2262.4000000953674,224895.69999992847,7001,NTS,A,17
9,17,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),229240.79999995232,1500,O,m,559,8,1,2079.0,227161.79999995232,7001,NTS,A,18
2,18,test,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),231673.5,2000,O,z,409,2,1,2429.2000000476837,229244.29999995232,7001,NTS,A,19
6,19,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),234122.60000002384,1900,O,m,524,5,1,2445.600000023842,231677.0,7001,NTS,A,20
8,20,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),236264.29999995232,1600,O,m,525,7,1,2138.0,234126.29999995232,7001,NTS,A,21
1,21,test,1,A,circle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),238004.79999995232,1000,O,z,730,1,1,1736.1000000238419,236268.69999992847,7001,NTS,A,22
7,22,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),240254.0,1700,O,m,528,6,1,2245.399999976158,238008.60000002384,7001,NTS,A,23
8,23,test,1,A,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),242386.69999992847,1600,O,m,507,7,1,2129.1999999284744,240257.5,7001,NTS,A,24
9,1,test,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),259398.0,1400,O,z,629,8,1,2046.3000000715256,257351.69999992847,7001,NTS,A,1
2,2,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),261530.60000002384,1700,O,m,415,2,1,2128.3000000715256,259402.29999995232,7001,NTS,A,2
2,3,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),263396.7999999523,1200,O,m,639,10,1,1862.8999999761581,261533.89999997616,7001,NTS,A,3
1,4,test,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),265829.1999999285,1900,O,z,513,1,1,2428.399999976158,263400.7999999523,7001,NTS,A,4
1,5,test,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),267762.10000002384,1400,O,z,516,9,1,1929.3000000715256,265832.7999999523,7001,NTS,A,5
4,6,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),270061.1999999285,1500,O,m,771,4,1,2295.899999976158,267765.2999999523,7001,NTS,A,6
8,7,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),271877.39999997616,1200,O,m,588,7,1,1812.5,270064.89999997616,7001,NTS,A,7
6,8,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),273893.5,1500,O,m,488,13,1,2012.5,271881.0,7001,NTS,A,8
3,9,test,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),275993.0,1600,O,z,468,3,1,2095.899999976158,273897.10000002384,7001,NTS,A,9
6,10,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),277992.10000002384,1500,O,m,477,13,1,1995.2000000476837,275996.89999997616,7001,NTS,A,10
4,11,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),280191.5,1000,O,m,1169,12,1,2195.600000023842,277995.89999997616,7001,NTS,A,11
3,12,test,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),282690.60000002384,2000,O,z,482,11,1,2495.3000000715256,280195.2999999523,7001,NTS,A,12
6,13,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),284390.10000002384,1000,O,m,679,5,1,1696.1000000238419,282694.0,7001,NTS,A,13
7,14,test,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),286956.0,2000,O,z,539,6,1,2562.0,284394.0,7001,NTS,A,14
4,15,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),289588.60000002384,1500,O,m,1113,4,1,2628.9000000953674,286959.6999999285,7001,NTS,A,15
9,16,test,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),291621.2999999523,1400,O,z,613,8,1,2029.1000000238419,289592.1999999285,7001,NTS,A,16
2,17,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),293520.6999999285,1200,O,m,668,10,1,1895.7999999523163,291624.89999997616,7001,NTS,A,17
6,18,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),295069.89999997616,1000,O,m,528,5,1,1545.6000000238419,293524.2999999523,7001,NTS,A,18
8,19,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),297252.5,1700,O,m,463,15,1,2178.899999976158,295073.60000002384,7001,NTS,A,19
9,20,test,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),299735.2999999523,1900,O,z,561,16,1,2479.1999999284744,297256.10000002384,7001,NTS,A,20
7,21,test,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),301868.10000002384,1600,O,z,506,14,1,2129.0,299739.10000002384,7001,NTS,A,21
8,22,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),303733.89999997616,1200,O,m,637,7,1,1862.1000000238419,301871.7999999523,7001,NTS,A,22
1,23,test,1,B,triangle.png,1,z,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),305700.1999999285,1400,O,z,547,9,1,1962.5,303737.6999999285,7001,NTS,A,23
4,24,test,1,B,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),307316.1999999285,1000,O,m,550,12,1,1612.3999999761581,305703.7999999523,7001,NTS,A,24
9,0,prac,1,C,circle.png,0,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),351302.6999999285,1900,O,z,1260,8,1,3942.1999999284744,347360.5,7001,NTS,A,1
2,1,prac,1,C,triangle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),354969.2999999523,1600,O,m,1275,2,1,3661.100000023842,351308.1999999285,7001,NTS,A,2
6,2,prac,1,C,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),359100.0,2000,O,m,1346,5,1,4124.300000071526,354975.6999999285,7001,NTS,A,3
6,3,prac,1,C,circle.png,1,m,Thu Sep 05 2024 13:34:47 GMT-0500 (Central Daylight Time),362848.89999997616,2000,O,m,957,5,1,3743.2000000476837,359105.6999999285,7001,NTS,A,4
