Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
9,1,prac,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),447654.0999984741,1500,I,m,692,8,3,2978.599998474121,444675.5,9002,NTS,B,1
2,2,prac,1,A,circle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),451087.5,2000,I,z,615,2,3,3417.0,447670.5,9002,NTS,B,2
2,3,prac,1,A,circle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),454753.79999923706,2000,I,z,879,2,3,3654.7000007629395,451099.0999984741,9002,NTS,B,3
7,4,prac,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),457737.0,1700,I,m,489,6,3,2971.6000003814697,454765.39999961853,9002,NTS,B,4
8,5,prac,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),461003.6999988556,1600,I,m,870,7,3,3255.0,457748.6999988556,9002,NTS,B,5
1,6,prac,1,A,circle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),464004.0999984741,1000,I,z,1214,1,3,2987.7999992370605,461016.29999923706,9002,NTS,B,6
4,6,prac,1,A,circle.png,0,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),466970.39999961853,1400,I,m,771,4,3,2955.0,464015.39999961853,9002,NTS,B,7
7,7,prac,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),470753.79999923706,1700,I,m,1281,6,3,3771.7999992370605,466982.0,9002,NTS,B,8
6,8,prac,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),474420.1999988556,1900,I,m,977,5,3,3657.0,470763.1999988556,9002,NTS,B,9
8,9,prac,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),477387.29999923706,1600,I,m,573,7,3,2958.7000007629395,474428.5999984741,9002,NTS,B,10
1,10,prac,1,A,circle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),479920.79999923706,1000,I,z,732,1,3,2522.7000007629395,477398.0999984741,9002,NTS,B,11
3,11,prac,1,A,circle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),482437.5999984741,1200,I,z,527,3,3,2506.5,479931.0999984741,9002,NTS,B,12
3,1,prac,1,B,triangle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),503920.5999984741,1600,I,z,950,3,3,3340.0,500580.5999984741,9002,NTS,B,1
2,2,prac,1,B,triangle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),507087.29999923706,1700,I,m,668,2,3,3156.3999996185303,503930.89999961853,9002,NTS,B,2
9,3,prac,1,B,triangle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),510370.79999923706,1400,I,z,1099,8,3,3273.2000007629395,507097.5999984741,9002,NTS,B,3
2,4,prac,1,B,triangle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),513403.89999961853,1700,I,m,539,2,3,3022.6000003814697,510381.29999923706,9002,NTS,B,4
1,5,prac,1,B,triangle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),516721.0999984741,1900,I,z,617,1,3,3307.3999996185303,513413.6999988556,9002,NTS,B,5
4,6,prac,1,B,triangle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),519803.79999923706,1500,I,m,788,4,3,3074.3999996185303,516729.39999961853,9002,NTS,B,6
8,7,prac,1,B,triangle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),522504.0999984741,1200,I,m,709,7,3,2692.2999992370605,519811.79999923706,9002,NTS,B,7
7,8,prac,1,B,triangle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),526420.5,2000,I,z,1130,6,3,3904.0,522516.5,9002,NTS,B,8
9,9,prac,1,B,triangle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),529487.1999988556,1400,I,z,868,8,3,3055.1000003814697,526432.0999984741,9002,NTS,B,9
6,10,prac,1,B,triangle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),532020.7999992371,1000,I,m,744,5,3,2522.0,529498.7999992371,9002,NTS,B,10
7,11,prac,1,B,triangle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),535653.8999996185,2000,I,z,844,6,3,3622.1000003814697,532031.7999992371,9002,NTS,B,11
6,12,prac,1,B,triangle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),538304.0,1000,I,m,851,5,3,2637.5,535666.5,9002,NTS,B,12
7,1,test,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),613420.7999992371,1700,I,m,954,6,3,2677.8999996185303,610742.8999996185,9002,NTS,B,1
3,2,test,1,A,circle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),615420.5,1200,I,z,770,3,3,1989.7000007629395,613430.7999992371,9002,NTS,B,2
4,2,test,1,A,circle.png,0,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),617670.5,1400,I,m,826,4,3,2243.1000003814697,615427.3999996185,9002,NTS,B,3
9,3,test,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),620204.1999988556,1500,I,m,1005,8,3,2525.199998855591,617679.0,9002,NTS,B,4
8,4,test,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),622704.0999984741,1600,I,m,865,7,3,2491.5,620212.5999984741,9002,NTS,B,5
3,5,test,1,A,circle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),624654.0999984741,1200,I,z,720,3,3,1941.0,622713.0999984741,9002,NTS,B,6
6,6,test,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),627387.5,1900,I,m,806,5,3,2724.0,624663.5,9002,NTS,B,7
3,7,test,1,A,circle.png,1,z,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),629287.2999992371,1200,I,z,678,3,3,1890.7000007629395,627396.5999984741,9002,NTS,B,8
6,8,test,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),631870.7999992371,1900,I,m,652,5,3,2575.2000007629395,629295.5999984741,9002,NTS,B,9
9,9,test,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),634387.3999996185,1500,I,m,981,8,3,2504.300001144409,631883.0999984741,9002,NTS,B,10
6,10,test,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),637220.3999996185,1900,I,m,913,5,3,2824.3999996185303,634396.0,9002,NTS,B,11
8,11,test,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),639537.1999988556,1600,I,m,667,7,3,2303.3999996185303,637233.7999992371,9002,NTS,B,12
7,12,test,1,A,circle.png,1,m,Fri Jan 17 2025 12:32:05 GMT-0500 (Eastern Standard Time),642004.0999984741,1700,I,m,748,6,3,2458.2999992370605,639545.7999992371,9002,NTS,B,13
